STT,Loại câu hỏi,Câu hỏi,Câu trả lời,Căn cứ
137,Quy định về tổ chức đào tạo,Thời gian học của một lớp học ngoài giờ hành chính là lúc nào?,"Điều 3. Quy định về tổ chức đào tạo
2) Hình thức giảng dạy, trách nhiệm của cán bộ giảng dạy
- Thời gian dạy - học theo khung sau:
        • 17g45 - 20g30 từ thứ hai đến thứ bảy,
        • 7g30 – 11g30, 13g00 – 17g00 và 17g45 - 20g30 ngày chủ nhật.","Khoản 2, Điều 3, QUY ĐỊNH VỀ VIỆC TỔ CHỨC DẠY – HỌC NGOÀI GIỜ HÀNH CHÍNH ĐỐI VỚI CÁC HỌC PHẦN TRONG CHƯƠNG TRÌNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
138,Quy định về học phí,Học phí của một lớp ngoài giờ hành chính?,"Điều 4. Quy định về học phí
- Trường hợp lớp ngoài giờ hành chính mở chung cho các chương trình đào tạo:
        • Áp dụng một mức đơn giá học phí/tín chỉ;3
        • Đơn giá học phí/tín chỉ được tính bằng 1,5 lần đơn giá học phí/tín chỉ của chương trình đào tạo chính quy (không phải là các chương trình đặc biệt) học trong giờ hành chính.
- Trường hợp lớp ngoài giờ hành chính mở riêng cho các chương trình đào tạo đặc biệt: Đơn giá học phí/tín chỉ được tính bằng 1,5 lần đơn giá học phí/tín chỉ của chương trình đào tạo đặc biệt tương ứng học trong giờ hành chính.
- Đơn giá học phí/tín chỉ trong giờ hành chính được quy định tại Quyết định ban hành quy định mức thu học phí vào năm học tương ứng với thời gian mở lớp.
- Trường hợp các lớp được mở có số lượng sinh viên ít hơn tiêu chuẩn quy định tại Khoản 1, Điều 3 Quyết định này, đơn giá học phí/tín chỉ sẽ do Hiệu trưởng quyết định.","Điều 4, QUY ĐỊNH VỀ VIỆC TỔ CHỨC DẠY – HỌC NGOÀI GIỜ HÀNH CHÍNH ĐỐI VỚI CÁC HỌC PHẦN TRONG CHƯƠNG TRÌNH ĐÀO TẠO ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
139,Thiết kế chương trình đào tạo,Chương trình đào tạo liên thông trình độ đại học lên trình độ thạc sĩ kéo dài bao lâu?,"Điều 5. Thiết kế chương trình đào tạo
1. Thời gian thiết kế chương trình ĐH-ThS từ 4.5 – 5.5 năm.
Điều 6. Thời gian đào tạo
1. Thời gian tối đa để hoàn thành chương trình ĐH-ThS là thời gian thiết kế chương trình ĐH-ThS theo Khoản 1, Điều 5 cộng thêm 36 tháng (bao gồm thời gian bảo lưu).
2. Thời gian học tập của người học được tính từ khi có quyết định nhập học của chương trình ĐH đang học.","- Khoản 1, Điều 5, QUY ĐỊNH TẠM THỜI VỀ ĐÀO TẠO LIÊN THÔNG TỪ TRÌNH ĐỘ ĐẠI HỌC LÊN TRÌNH ĐỘ THẠC SĨ HỆ CHÍNH QUY
- Khoản 1, 2, Điều 6, QUY ĐỊNH TẠM THỜI VỀ ĐÀO TẠO LIÊN THÔNG TỪ TRÌNH ĐỘ ĐẠI HỌC LÊN TRÌNH ĐỘ THẠC SĨ HỆ CHÍNH QUY"
140,Tuyển sinh,Chương trình đào tạo liên thông trình độ đại học lên trình độ thạc sĩ tuyển sinh bao nhiêu sinh viên?,"Điều 7. Tuyển sinh
1. Chỉ tiêu tuyển sinh: Chỉ tiêu tuyển sinh chương trình ĐH-ThS do Hiệu trưởng quyết định, không vượt quá 50% tổng chỉ tiêu đào tạo trình độ thạc sĩ của ngành tương ứng.","Khoản 1, Điều 7, QUY ĐỊNH TẠM THỜI VỀ ĐÀO TẠO LIÊN THÔNG TỪ TRÌNH ĐỘ ĐẠI HỌC LÊN TRÌNH ĐỘ THẠC SĨ HỆ CHÍNH QUY"
141,Tuyển sinh,Sinh viên nào có thể tuyển sinh vào chương trình đào tạo liên thông trình độ đại học lên trình độ thạc sĩ ?,"Điều 7. Tuyển sinh
4. Đối tượng và điều kiện tuyển sinh: Người học đã hoàn tất học kỳ thứ hai của năm thứ hai của chương trình ĐH đang học và đồng thời thỏa các tiêu chí sau:
a. Đang học ngành phù hợp với ngành ĐH-ThS đăng ký xét tuyển. Danh sách ngành phù hợp được quy định tại Phụ lục 2. Nếu ngành ĐH đang học khác với ngành ĐH-ThS thì sinh viên phải có đủ điều kiện chuyển ngành sang ngành ĐH-ThS theo quy chế đào tạo đại học của Trường.
b. Điểm trung bình tích lũy tính đến thời điểm xét tuyển đạt loại khá trở lên (từ 7,0 trở lên theo thang điểm 10);
c. Số tín chỉ tích lũy tính đến thời điểm xét tuyển đạt tối thiểu 60 tín chỉ;","Khoản 1, Điều 7, QUY ĐỊNH TẠM THỜI VỀ ĐÀO TẠO LIÊN THÔNG TỪ TRÌNH ĐỘ ĐẠI HỌC LÊN TRÌNH ĐỘ THẠC SĨ HỆ CHÍNH QUY"
142,Quy định về học phí,Học phí của chương trình đào tạo liên thông trình độ đại học lên trình độ thạc sĩ như thế nào?,"Điều 11. Quy định về học phí
1. Các học phần trong chương trình đào tạo trình độ thạc sĩ tổ chức giảng dạy trong chương trình đào tạo trình độ đại học thì học phí được xác định theo quy định đối với chương trình đại học chuẩn cùng ngành ĐH-ThS.
2. Các học phần học còn lại trong chương trình đào tạo trình độ thạc sĩ sau khi người học tốt nghiệp đại học thì học phí được tính theo quy định đối với chương trình đào tạo trình độ thạc sĩ hiện hành của Trường.","Điều 11, QUY ĐỊNH TẠM THỜI VỀ ĐÀO TẠO LIÊN THÔNG TỪ TRÌNH ĐỘ ĐẠI HỌC LÊN TRÌNH ĐỘ THẠC SĨ HỆ CHÍNH QUY"
143,Giải thích từ ngữ,Học liệu điện tử là gì?,"Điều 2. Giải thích từ ngữ
1. Học liệu điện tử: là các tài liệu học tập được số hóa theo các định dạng đa phương tiện trên máy tính (văn bản, âm thanh, hình ảnh, video, đồ họa, …), được cấu trúc theo kịch bản dạy và học nhất định, có nội dung đáp ứng chuẩn đầu ra của một môn học. Video bài giảng là thành phần bắt buộc phải có của học liệu điện tử.","Khoản 1, Điều 2, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
144,Giải thích từ ngữ,Phương thức dạy học trực tiếp là như thế nào?,"Điều 2. Giải thích từ ngữ
2. Phương thức dạy học trực tiếp: là phương thức dạy và học có sự gặp mặt trực tiếp giữa giảng viên và sinh viên.","Khoản 2, Điều 2, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
145,Giải thích từ ngữ,Phương thức dạy học trực tuyến là gì?,"Điều 2. Giải thích từ ngữ
3. Phương thức dạy học trực tuyến (DHTT): là phương thức dạy và học thông qua phần mềm ứng dụng trên môi trường mạng để thực hiện việc giảng dạy và học tập, qua đó sinh viên có thể tự học mọi lúc mọi nơi với các học liệu điện tử; sinh viên có thể trao đổi với nhau và với giảng viên thông qua các phần mềm ứng dụng trên môi trường mạng.","Khoản 3, Điều 2, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
146,Giải thích từ ngữ,Phương thức dạy học kết hợp là gì?,"Điều 2. Giải thích từ ngữ
4. Phương thức dạy học kết hợp (DHKH): là phương thức dạy và học có sự phối hợp một cách hợp lý, có chủ đích giữa phương thức dạy học trực tuyến với phương thức dạy học trực tiếp.","Khoản 4, Điều 2, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
147,Mục đích của phương thức DHTT và DHKH,Tại sao trường triển khai phương thức dạy học trực tuyến và dạy học kết hợp?,"Điều 3.Mục đích của phương thức DHTT và DHKH
Bên cạnh phương thức dạy học trực tiếp, Trường triển khai các phương thức dạy học trực tuyến, dạy học kết hợp nhằm những mục đích sau đây:
1. Tăng cường ứng dụng công nghệ thông tin và truyền thông trong đào tạo; Phát triển năng lực tự học, tự nghiên cứu cho sinh viên; Đáp ứng nhu cầu học tập linh hoạt, đa dạng của sinh viên, phù hợp với chủ trương của Nhà nước, Bộ Giáo dục & Đào tạo, ĐHQG-HCM và với xu hướng đào tạo hiện đại hiện nay trên thế giới.
2. Nhằm chuẩn bị sẵn sàng chuyển đổi phương thức dạy và học một cách linh hoạt, không làm gián đoạn công tác đào tạo khi không thể tổ chức đào tạo theo hình thức trực tiếp do các nguyên nhân khách quan như thiên tai, dịch bệnh kéo dài hoặc những khó khăn từ thực tế khác và vẫn đảm bảo chất lượng đào tạo.","Điều 3, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
148,"Trường hợp, điều kiện mở lớp theo phương thức DHTT và DHKH",Khi nào thì lớp theo phương thức dạy học trực tuyến được mở?,"Điều 6.Trường hợp, điều kiện mở lớp theo phương thức DHTT và DHKH
1. Phương thức DHTT (thỏa tất cả điều kiện sau):
a) Môn học phải có đầy đủ học liệu điện tử cho toàn bộ nội dung môn học theo đề cương môn học.
b) Trường hợp môn học chưa có đầy đủ học liệu điện tử, Trường chỉ cho phép đối với giảng viên là chuyên gia đang ở nước ngoài. Trường hợp này, giảng viên ở nước ngoài lên lớp trực tuyến qua phần mềm Microsoft Teams (xem quy định tại Điều 10) theo thời khóa biểu; ĐVQLMH phải phân công thêm giảng viên cùng tham gia giảng dạy hoặc phân công thêm trợ giảng lý thuyết.
c) Hiệu trưởng duyệt mở lớp đối với Trường thức này.","Khoản 1, Điều 6, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
149,"Trường hợp, điều kiện mở lớp theo phương thức DHTT và DHKH",Khi nào thì lớp theo phương thức dạy học kết hợp được mở?,"Điều 6.Trường hợp, điều kiện mở lớp theo phương thức DHTT và DHKH
2. Phương thức DHKH (thỏa tất cả điều kiện sau):
a) Kế hoạch giảng dạy kết hợp phải được xác định rõ từ đầu học kỳ;
b) Môn học phải có đầy đủ học liệu điện tử cho tối thiểu 1/3 nội dung môn học theo đề cương môn học;","Khoản 2, Điều 6, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
150,Sử dụng học liệu điện tử,Trường sử dụng những học liệu điện tử nào?,"Điều 9.Sử dụng học liệu điện tử
Học liệu điện tử của Trường được:
1. Cung cấp cho sinh viên có đăng ký môn học để sử dụng trong học tập hoặc tham khảo.
2. Cung cấp cho giảng viên mới công tác tại trường để tham khảo nhằm mục đích bồi dưỡng giảng viên.
3. Cung cấp cho giảng viên được phân công dạy môn học để sử dụng trong giảng dạy.","Điều 9, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
151,Hệ thống phần mềm phục vụ DHTT và DHKH,Các hệ thống phần mềm mà sinh viên sử dụng để học trực tuyến và học kết hợp?,"Điều 10. Hệ thống phần mềm phục vụ DHTT và DHKH
Hệ thống phần mềm phục vụ DHTT, DHKH được sử dụng kết hợp bởi các phần mềm sau đây:
1. Hệ thống UIT-Elearning (https://courses.uit.edu.vn):
a) Giúp giảng viên tổ chức triển khai giảng bài, hướng dẫn, giao nhiệm vụ học tập, chuyển tải học liệu điện tử đến sinh viên;
b) Giúp sinh viên tương tác, trao đổi thông tin với giảng viên và những sinh viên khác.
2. Phần mềm Microsoft Teams:
a) Giúp giảng viên tổ chức triển khai giảng bài, chia sẻ màn hình máy tính, hướng dẫn, giao nhiệm vụ học tập;
b) Giúp sinh viên tương tác, trao đổi thông tin với giảng viên và những sinh viên khác.
3. Hệ thống Cổng thông tin đào tạo đại học (https:/student.uit.edu.vn/ https:/daa.uit.edu.vn):
a) Giúp giảng viên xem thông tin về lịch dạy, lớp học.
b) Giúp sinh viên xem lịch học và cung cấp các dịch vụ sinh viên khác.
4. Hệ thống Quản lý đào tạo:
Cho phép trường quản lý hồ sơ, tiến trình học tập, kết quả học tập của sinh viên và các hoạt động dạy của giảng viên.","Điều 10, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
152,Những hành vi nghiêm cấm trong hoạt động dạy học trực tuyến,Các hành vi bị nghiêm cấm trong lúc học trực tuyến là gì?,"Điều 15. Những hành vi nghiêm cấm trong hoạt động dạy học trực tuyến
1. Nghiêm cấm các hành vi lợi dụng DHTT, DHKH để cung cấp thông tin trên mạng nhằm mục đích:
a) Chống lại Nhà nước Cộng hòa Xã hội Chủ nghĩa Việt Nam; gây phương hại đến an ninh quốc gia, trật tự an toàn xã hội; phá hoại khối đại đoàn kết dân tộc; tuyên truyền chiến tranh, khủng bố; gây hận thù, mâu thuẫn giữa các dân tộc, sắc tộc, tôn giáo.
b) Tuyên truyền, kích động bạo lực, dâm ô, đồi trụy, tội ác, tệ nạn xã hội, mê tín dị đoan, phá hoại thuần phong, mỹ tục của dân tộc.
c) Tiết lộ bí mật Nhà nước, bí mật quân sự, an ninh, kinh tế, đối ngoại và những bí mật khác do pháp luật quy định.
d) Đưa thông tin xuyên tạc, vu khống, xúc phạm uy tín của tổ chức, danh dự và nhân phẩm của cá nhân.
đ) Quảng cáo, tuyên truyền, mua bán hàng hóa, dịch vụ bị cấm; truyền bá tác phẩm báo chí, văn học, nghệ thuật, xuất bản phẩm bị cấm.
e) Giả mạo tổ chức, cá nhân và phát tán thông tin giả mạo, thông tin sai sự thật xâm hại đến quyền và lợi ích hợp pháp của tổ chức, cá nhân.
2. Nghiêm cấm các hành vi tạo đường dẫn trái phép đối với tên miền hợp pháp của tổ chức, cá nhân; tạo, cài đặt, phát tán phần mềm độc hại, vi-rút máy tính; xâm nhập trái phép; chiếm quyền điều khiển hệ thống thông tin, tạo lập công cụ tấn công trên mạng.
3. Nghiêm cấm các đối tượng có hành vi lưu trữ, sao chép, cắt ghép làm thay đổi nội dung học liệu điện tử, ghi hình và chỉnh sửa bài giảng trực tiếp, phát tán bài giảng có trong hệ thống DHTT, DHKH dưới mọi hình thức khi chưa được sự đồng ý của giảng viên hoặc lãnh đạo ĐVQLMH.
4. Các vi phạm, tùy theo mức độ, sẽ bị xử lý theo quy định hiện hành của Trường hoặc bị cơ quan có thẩm quyền xử lý kỷ luật, xử lý hình sự theo quy định của Pháp luật","Điều 15, QUY ĐỊNH DẠY VÀ HỌC THEO PHƯƠNG THỨC TRỰC TUYẾN VÀ PHƯƠNG THỨC KẾT HỢP CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
153,Giải thích từ ngữ,Đánh giá học tập theo hình thức trực tuyến là sao?,"Điều 3. Giải thích từ ngữ
1. Đánh giá kết quả học tập theo hình thức trực tuyến (thi trực tuyến) là hình thức người học làm bài thi trên các hệ thống thi trực tuyến qua mạng internet mà không cần tiếp xúc trực tiếp với cán bộ coi thi (CBCT) và cán bộ giám sát thi (CBGS).","Khoản 1, Điều 3, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
154,Giải thích từ ngữ,Phòng thi trực tuyến là gì?,"Điều 3. Giải thích từ ngữ 
3. Phòng thi trực tuyến (gọi tắt là phòng thi) là phòng thi ảo được tạo ra trên hệ thống thi trực tuyến, là không gian nơi thí sinh làm bài và nộp bài, trong đó mọi hoạt động của thí sinh đều được CBCT, CBGS quan sát thấy.","Khoản 3, Điều 3, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
155,Giải thích từ ngữ,Các sự cố trong quá trình thi bao gồm những gì?,"Điều 3. Giải thích từ ngữ 
10. Sự cổ trong quá trình thi là những tình huống xảy ra trong quá trình thi như máy chủ, thiết bị coi thi bị lỗi, mất điện, mất kết nối internet và các tình huống khách quan khác làm gián đoạn quá trình làm bài của thí sinh hoặc quá trình coi thi.","Khoản 10, Điều 3, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
156,Thiết bị của thí sinh,Thiết bị của thí sinh tham gia thi trực tuyến bao gồm những gì?,"Điều 4. Thiết bị của thí sinh
Thiết bị của thi sinh bao gồm thiết bị làm bài thi, thiết bị hỗ trợ giám sát, thiết bị liên lạc:
1. Thiết bị làm bài thi của thí sinh: máy tính cá nhân hoặc các thiết bị khác được phép sử dụng có kết nối internet. Các thiết bị này đáp ứng các yêu cầu về phần cứng và phần mềm của hệ thống thi trực tuyến. Đơn vị tổ chức thi có thể quy định những yêu cầu riêng đối với thiết bị thủ.
2. Thiết bị hỗ trợ giám sát của thi sinh: thiết bị có camera đặt trước mặt thí sinh, quan sát được toàn bộ khuôn mặt của thi sinh và phạm vi xung quanh, microphone, loa hoặc tai nghe, phần mềm chặn truy cập vào các trang web không được phép và giám sát hoạt động của bàn phím và chuột.
3. Thiết bị liên lạc dùng để liên lạc của thi sinh với đơn vị tổ chức thi và ngược lại trong trường hợp cần thiết.","Điều 4, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
157,"Đề thi, bài thi trực tuyến",Đề thi trực tuyến được thiết kế theo hình thức nào?,"Điều 8. Đề thi, bài thi trực tuyến
1. Đề thi trực tuyến được thiết kế dựa trên tập hợp các câu hỏi bằng hình thức: trắc nghiệm, tự luận, vấn đáp.
2. Câu hỏi trắc nghiệm của đề thi theo hình thức trực tuyến được lựa chọn từ ngân hàng câu hỏi thi, đảm bảo đánh giá được năng lực của người học. Hiệu trưởng quy định đề thi, quy trình xây dựng và bảo quản ngân hàng câu hỏi thi vào hệ thống phần mềm thi trực tuyến.
3. Điểm của bài thi được thực hiện theo quy chế đào tạo của Trường.","Điều 8, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
158,Chấm thi,Bài thi trực tuyến được chấm như thế nào?,"Điều 13. Chấm thi
1. Điểm bài thi trắc nghiệm có thể được chấm tự động trên phần mềm, được xuất từ hệ thống thi trực tuyến hoặc được chấm theo sự phân công của trưởng ĐVCM.
2. Điểm bài thi viết tự luận, vấn đáp được chấm trên hệ thống phần mềm thi và hoặc bản in theo quy định hiện hành của Trường.
3. Dữ liệu điểm thi bao gồm bảng điểm/số điểm (thông tin về kỳ thi, CBCT/cán bộ chấm thi, xác nhận của đơn vị tổ chức thi), danh sách thi sinh bị xử lý kỷ luật, danh sách thí sinh thuộc diện dùng thi.","Điều 13, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
159,Tạm dùng quyền dự thi của thí sinh,Sinh viên bị tạm dừng bài thi trực tuyến khi nào?,"Điều 19. Tạm dùng quyền dự thi của thí sinh
1. Thí sinh bị tạm dùng quyền dự thi khi gặp một trong các tình huống sau: a) Thi sinh không có thẻ sinh viên/thẻ học viên hoặc căn cước công dân hoặc hộ chiếu hoặc có nhưng không đảm bảo đầy đủ nội dung thông tin trên thế.
b) Thiết bị của thi sinh bị mắt kết nối liên tục trong thời gian ngắn hoặc mất kết nối đến lần thứ 3 trong thời gian thi hoặc tổng thời gian mất kết nối hơn 5 phút.
c) CBCT không thể nghe rõ âm thanh của thí sinh khi được yêu cầu hoặc không nhìn rõ hình ảnh của thí sinh.
d) Thí sinh vào phòng thi chậm hơn 15 phút của ca thi.
đ) Thí sinh không khắc phục được tiếng ồn (do môi trường xung quanh gây ra) trong phòng thi khi đã được CBCT nhắc nhỏ.
e) Các tình huống khác, CBCT xin ý kiến của đơn vị tổ chức thi xem xét quyết định việc tạm dừng quyền dự thi của thí sinh.
2. Xử lý sau khi tạm dùng quyền dự thi: Cho phép thí sinh thi bổ sung vào kỳ thi khác hoặc chuyển hình thức thi phù hợp với quy định trong đề cương học phần. Điều 20. Xử lý thí sinh vi phạm","Điều 19, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
160,Xử lý thí sinh vi phạm,Sinh viên vị phạm khi tham gia thi trực tuyến sẽ bị xử lí thế nào?,"Điều 20. Xử lý thí sinh vi phạm
1. Áp dụng hình thức kỷ luật khiển trách và trừ 25% tổng số điểm bài thi với thí sinh vi phạm một trong các lỗi sau đây:
        a) Không thực hiện đúng và kịp thời các chỉ dẫn của CBCT, làm ảnh hưởng đến tiến trình tổ chức ca thi và thời gian của ca thi.
        b) Có lời nói, hành vi thiếu tôn trọng cán bộ trong phòng thi bị CBCT nhắc nhở. 
        c) Tự ý đăng nhập làm bài thi trước khi có hiệu lệnh của CBCT cho phép thí sinh làm bài.
        d) Gây ồn trong phòng thi tới mức CBCT nhận định là gây ảnh hưởng nghiêm trọng đến việc điều hành thi và quá trình làm bài của thi sinh khác.
        đ) Tự ý rời vị trí thi, rời phòng thi khi chưa được CBCT cho phép.
2. Áp dụng hình thức kỷ luật cảnh cáo và trừ 50% tổng số điểm bài thi với thí sinh vi phạm một trong các lỗi sau đây:
        a) Đã bị khiển trách một lần nhưng tiếp tục vi phạm một trong các lỗi nêu ở khoản 1 Điều này. câu.
        b) Không thực hiện các yêu cầu của CBCT, không hợp tác với CBCT khi có yêu
        c) Có hành vi làm chậm hay gián đoạn thời gian thi.
        d) Thay đổi vị trí camera quan sát trong quá trình làm bài thi, tự ý tắt microphone và hệ thống loa ngoài trong thời gian làm bài thi.
        đ) Sử dụng các phương tiện, dụng cụ làm mở hoặc che khuất tầm quan sát của camera giám sát.
3. Áp dụng hình thức kỷ luật đỉnh chỉ thi, hủy kết quả thi và nhận điểm 0 (không) nếu thí sinh bị phát hiện trước, trong và/hoặc sau thời gian của ca thi khi vi phạm một trong các lỗi sau:
        a) Có hành vi gian lận, sử dụng tài liệu trong khi làm bài thi (với học phần thi không được phép sử dụng tài liệu) và bị phát hiện trong và/hoặc sau thời gian của ca thi.
        b) Lắp đặt thiết bị ghi âm, ghi hình trong phòng thi (trừ microphone, camera trên máy thi, thiết bị hỗ trợ thi).
        c) Nói chuyện, trao đổi, sử dụng ngôn ngữ hình thể, giao tiếp bằng tay với người khác (trừ trường hợp giao tiếp với CBCT, cán bộ kỹ thuật, cán bộ thanh tra thị, cán bộ của đơn vị tổ chức thi).
        d) Dùng các biện pháp để tránh tầm quan sát của CBCT.
        e) Cổ tinh bố trí cho người lạ đến gần nhằm nhắc nhở, làm bài thi hộ.
4. Áp dụng hình thức kỷ luật đình chỉ thi và đình chỉ học tập từ 1-2 học kỳ hoặc buộc thôi học nếu thí sinh bị phát hiện trước, trong và/hoặc sau thời gian của ca thi khi vi phạm một trong các lỗi sau:
        a) Sao chụp, ghi hình, phát tán bất kỳ hình ảnh, âm thanh nào của kỳ thi lên mạng xã hội hoặc gửi cho người khác phát tán lên mạng xã hội.
        b) Lợi dụng công nghệ thông tin để xâm nhập trái phép vào hệ thống thi trực tuyến để thực hiện các hành vi gian lận, phá hoại kỳ thi, thay đổi kết quả thi.
        c) Có hành vi đe dọa, hành hung cán bộ hỗ trợ, phục vụ kỳ thi.
        d) Có hành vi cắt ghép hình ảnh, âm thanh và các nội dung của đề thi để xuyên tạc thông tin về kỳ thi.","Điều 20, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
161,Xử lý cán bộ vi phạm,Cán bộ coi thi vi phạm trong khi tham gia coi thi trực tuyến sẽ bị xử lí như thế nào?,"Điều 21. Xử lý cán bộ vi phạm
1. Mọi vi phạm trong công tác tổ chức thi sẽ bị xử lý theo Luật Giáo dục đại học, Luật cán bộ công chức, Luật viên chúc, Bộ luật Lao động, các văn bản hướng dẫn thi hành, các quy định khác của pháp luật có liên quan; Quy chế đào tạo cho sinh viên hệ đào tạo từ xa trình độ đại học, Quy chế đào tạo theo học chế tín chỉ cho hệ đại học chính quy, Quy định tổ chức thi các môn học hệ đại học chính quy hiện hành của Trường.
2. CBCT, CBGS, cán bộ kỹ thuật có hành vi vi phạm quy định, quy chế (bị phát hiện trong khi làm nhiệm vụ hoặc sau khi kỳ thi kết thúc), nếu có đủ bằng chứng sẽ xử phạt theo quy chế hiện hành của Bộ GD&ĐT và của ĐHQG-HCM.","Điều 21, QUY ĐỊNH TỔ CHỨC ĐÁNH GIÁ KẾT QUẢ HỌC TẬP THEO HÌNH THỨC TRỰC TUYẾN TẠI TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
162,Đăng ký học phần,Sinh viên đăng ký học phần như thế nào?,"1. Đăng nhập
- Truy cập vào trang https://dkhp.uit.edu.vn.
- Dùng tài khoản chứng thực để đăng nhập.
3. Đăng ký học phần
Các bước đăng ký học phần:
- Bước 1: Chuyển sang menu Đăng ký Học phần.
- Bước 2: Tìm kiếm danh sách mã lớp cần đăng ký bằng thanh tìm kiếm.
- Bước 3: Chọn các lớp cần đăng ký.
- Bước 4: Bấm nút đăng ký sau khi xem xong danh sách các lớp đã chọn ở ngay bên dưới.
- Bước 5: Gồm 2 bước nhỏ
        • Nếu các lớp chọn không vấn đề gì, hệ thống sẽ tiến hành ghi nhận.
        • Nếu có vấn đề lỗi thì sẽ thông báo lỗi.
        • Nếu ghi nhận thành công sẽ thông báo thành công.
- Bước 6: Kiểm tra kết quả đăng ký học phần trả về.
- Bước 7: Hoàn tất đăng ký học phần        ","Phần 1, 3, HƯỚNG DẪN ĐĂNG KÝ HỌC PHẦN - PHIÊN BẢN MỚI"
